01 - Rental Details Rental ID,01 - Rental Details Local Start Time,01 - Rental Details Local End Time,01 - Rental Details Bike ID,01 - Rental Details Duration In Seconds Uncapped,03 - Rental Start Station ID,03 - Rental Start Station Name,02 - Rental End Station ID,02 - Rental End Station Name,User Type,Member Gender,05 - Member Details Member Birthday Year
22178567,2019-04-01 04:32:27,2019-04-01 04:47:52,3038,925.0,61,Wood St & Milwaukee Ave,290,Kedzie Ave & Palmer Ct,Subscriber,Male,1983
22178568,2019-04-01 04:39:31,2019-04-01 04:44:41,6123,310.0,7,Field Blvd & South Water St,211,St. Clair St & Erie St,Subscriber,Male,1987
22178569,2019-04-01 04:41:29,2019-04-01 04:49:47,3920,498.0,660,Sheridan Rd & Columbia Ave,515,Paulina St & Howard St,Subscriber,Female,1981
22178570,2019-04-01 04:44:55,2019-04-01 05:01:48,5962,"1,013.0",176,Clark St & Elm St,59,Wabash Ave & Roosevelt Rd,Subscriber,Female,1977
22178571,2019-04-01 04:45:34,2019-04-01 04:50:37,221,303.0,196,Cityfront Plaza Dr & Pioneer Ct,90,Millennium Park,Subscriber,Male,1989
22178572,2019-04-01 04:45:59,2019-04-01 04:51:58,4024,359.0,343,Racine Ave & Wrightwood Ave,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1991
22178573,2019-04-01 04:53:30,2019-04-01 04:59:44,3248,374.0,96,Desplaines St & Randolph St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1980
22178574,2019-04-01 04:56:19,2019-04-01 04:58:28,221,129.0,90,Millennium Park,52,Michigan Ave & Lake St,Subscriber,Male,1992
22178575,2019-04-01 04:58:20,2019-04-01 05:03:23,4067,303.0,493,Western Ave & Roscoe St,230,Lincoln Ave & Roscoe St,Subscriber,Female,1994
22178576,2019-04-01 05:01:08,2019-04-01 05:37:48,4862,"2,200.0",506,Spaulding Ave & Armitage Ave,283,LaSalle St & Jackson Blvd,Subscriber,Male,1962
22178577,2019-04-01 05:01:16,2019-04-01 05:06:02,4047,286.0,175,Wells St & Polk St,41,Federal St & Polk St,Subscriber,Male,1981
22178578,2019-04-01 05:01:49,2019-04-01 05:05:52,273,243.0,80,Aberdeen St & Monroe St,73,Jefferson St & Monroe St,Subscriber,Male,1987
22178579,2019-04-01 05:05:31,2019-04-01 05:19:36,2736,845.0,26,McClurg Ct & Illinois St,91,Clinton St & Washington Blvd,Subscriber,Male,1961
22178580,2019-04-01 05:05:36,2019-04-01 05:31:59,5988,"1,583.0",258,Logan Blvd & Elston Ave,471,Francisco Ave & Foster Ave,Subscriber,Female,1983
22178581,2019-04-01 05:10:25,2019-04-01 05:15:29,581,304.0,43,Michigan Ave & Washington St,18,Wacker Dr & Washington St,Subscriber,,1988
22178582,2019-04-01 05:15:03,2019-04-01 05:27:07,1952,724.0,210,Ashland Ave & Division St,383,Paulina St & Flournoy St,Subscriber,Male,1989
22178583,2019-04-01 05:16:01,2019-04-01 05:20:43,3245,282.0,340,Clark St & Wrightwood Ave,13,Wilton Ave & Diversey Pkwy,Subscriber,Female,1991
22178584,2019-04-01 05:17:23,2019-04-01 05:22:14,3365,291.0,66,Clinton St & Lake St,287,Franklin St & Monroe St,Subscriber,Male,1993
22178585,2019-04-01 05:17:30,2019-04-01 05:20:00,5221,150.0,212,Wells St & Hubbard St,47,State St & Kinzie St,Subscriber,Male,1994
22178586,2019-04-01 05:19:08,2019-04-01 05:22:12,5707,184.0,414,Canal St & Taylor St,75,Canal St & Jackson Blvd,Subscriber,Male,1978
22178587,2019-04-01 05:21:05,2019-04-01 05:28:02,3905,417.0,624,Dearborn St & Van Buren St (*),133,Kingsbury St & Kinzie St,Subscriber,Male,1965
22178588,2019-04-01 05:21:09,2019-04-01 05:23:19,2368,130.0,74,Kingsbury St & Erie St,133,Kingsbury St & Kinzie St,Subscriber,Male,1996
22187211,2019-04-01 21:27:53,2019-04-01 21:42:58,6333,905.0,285,Wood St & Hubbard St,66,Clinton St & Lake St,Subscriber,Male,1993
22187212,2019-04-01 21:28:20,2019-04-01 22:00:53,99,"1,953.0",148,State St & 33rd St,203,Western Ave & 21st St,Subscriber,Male,1982
22187213,2019-04-01 21:28:53,2019-04-01 21:40:32,4836,699.0,470,Kedzie Ave & Foster Ave,482,Campbell Ave & Montrose Ave,Subscriber,Male,1986
